Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
572,-5.65846,2.63873,-15.4259,-4.14563,-7.4337,8.42343,-15.7589,-1.46547,-33.6287,-4.49402,7.28877,-24.5679,-4.41483,0.786713,14.706,-16.9915,-5.45287,-34.6223
573,-5.41146,2.65254,-15.5099,-3.7075,-7.54933,8.4599,-15.0838,-1.1671,-33.572,-4.20142,7.34329,-24.7487,-4.08995,0.728947,14.6783,-16.5231,-5.14469,-34.5319
574,-5.08129,2.67084,-15.621,-3.14908,-7.70805,8.50251,-14.2128,-0.769576,-33.4923,-3.81373,7.41439,-24.9837,-3.66834,0.651275,14.6414,-15.9099,-4.7272,-34.4059
575,-4.67106,2.69331,-15.7574,-2.48915,-7.91036,8.54804,-13.1694,-0.277376,-33.3882,-3.33618,7.50044,-25.2669,-3.16032,0.554211,14.5954,-15.164,-4.20164,-34.2433
576,-4.18735,2.71942,-15.9156,-1.75147,-8.15486,8.59329,-11.9852,0.30065,-33.2593,-2.77785,7.59894,-25.5896,-2.58033,0.439113,14.5411,-14.3034,-3.57405,-34.0444
577,-3.63751,2.74851,-16.0916,-0.958695,-8.43925,8.63585,-10.6904,0.954692,-33.1058,-2.14818,7.70725,-25.9427,-1.94282,0.307521,14.4792,-13.346,-2.85203,-33.8105
578,-3.02805,2.77996,-16.2815,-0.129597,-8.76102,8.67425,-9.30972,1.67579,-32.9275,-1.45513,7.82293,-26.3176,-1.26016,0.160763,14.4103,-12.3066,-2.04287,-33.543
579,-2.36414,2.81319,-16.4819,0.721679,-9.11771,8.70797,-7.86103,2.45653,-32.7245,-0.704518,7.94383,-26.7069,-0.541999,-0.00024109,14.3347,-11.1958,-1.15276,-33.2432
580,-1.64949,2.84771,-16.6896,1.5851,-9.50698,8.73727,-6.35586,3.29108,-32.4962,0.0999692,8.0681,-27.1045,0.204501,-0.175038,14.2524,-10.0199,-0.186613,-32.9124
581,-0.886694,2.88308,-16.9019,2.45373,-9.92651,8.76292,-4.80075,4.17477,-32.2419,0.956293,8.19415,-27.5048,0.974075,-0.363622,14.1634,-8.78207,0.851638,-32.5513
582,-0.0775877,2.91891,-17.1165,3.32262,-10.3739,8.78603,-3.1988,5.1037,-31.9607,1.86352,8.32052,-27.9032,1.76268,-0.56637,14.0674,-7.48273,1.95863,-32.1606
583,0.77639,2.95485,-17.3313,4.18793,-10.8466,8.80786,-1.55108,6.07421,-31.6516,2.82127,8.4458,-28.2953,2.5669,-0.783961,13.964,-6.12079,3.13112,-31.7407
584,1.67388,2.99054,-17.5441,5.04627,-11.3416,8.82973,0.142346,7.08256,-31.3134,3.82922,8.56863,-28.6768,3.38354,-1.01729,13.8531,-4.69419,4.36556,-31.2919
585,2.61341,3.02564,-17.7529,5.89436,-11.8558,8.85295,1.88172,8.12471,-30.9453,4.88677,8.6876,-29.0437,4.20935,-1.26739,13.7347,-3.20043,5.65782,-30.8144
586,3.59326,3.05974,-17.9553,6.72895,-12.3856,8.87874,3.6672,9.19617,-30.5468,5.99276,8.80128,-29.3919,5.04101,-1.53534,13.609,-1.63695,7.00298,-30.3087
587,4.6114,3.09243,-18.1488,7.54685,-12.9271,8.90827,5.49874,10.292,-30.1176,7.14538,8.90826,-29.7174,5.87516,-1.82219,13.4767,-0.00129792,8.39526,-29.7749
588,5.66555,3.12321,-18.3308,8.34522,-13.4763,8.94265,7.37608,11.4068,-29.6582,8.34207,9.00714,-30.0164,6.70853,-2.1289,13.3388,1.70871,9.82801,-29.2137
589,6.75312,3.15159,-18.4982,9.12171,-14.0291,8.98296,9.29884,12.5349,-29.1695,9.57951,9.09659,-30.2854,7.53814,-2.45626,13.1968,3.49495,11.2938,-28.6256
590,7.87135,3.17698,-18.6478,9.87477,-14.5813,9.03025,11.2667,13.6703,-28.6528,10.8537,9.17538,-30.5211,8.36148,-2.80487,13.0523,5.35894,12.7845,-28.0114
591,9.01726,3.19881,-18.7763,10.6038,-15.1288,9.08561,13.2793,14.8068,-28.1103,12.1601,9.24245,-30.7209,9.17671,-3.17505,12.9076,7.30182,14.2916,-27.372
592,10.1878,3.21647,-18.88,11.3094,-15.6678,9.15017,15.3364,15.9384,-27.5444,13.4936,9.29688,-30.8824,9.98276,-3.56686,12.7649,9.32437,15.8063,-26.7086
593,11.3797,3.22934,-18.9557,11.9932,-16.1947,9.22513,17.4382,17.0587,-26.9582,14.8488,9.33798,-31.004,10.7795,-3.98007,12.6268,11.4269,17.3196,-26.0222
594,12.5898,3.23687,-19,12.658,-16.7061,9.31178,19.5846,18.1616,-26.3552,16.22,9.3653,-31.0846,11.5675,-4.41414,12.4958,13.6096,18.8227,-25.314
595,13.8147,3.2385,-19.0098,13.3079,-17.1992,9.41151,21.7757,19.2412,-25.7392,17.6015,9.37858,-31.1237,12.3486,-4.86825,12.3745,15.8718,20.3071,-24.5851
596,15.0512,3.23379,-18.9823,13.9475,-17.6714,9.52578,24.0115,20.2917,-25.1143,18.9878,9.37784,-31.1215,13.125,-5.34132,12.265,18.2128,21.7646,-23.8367
597,16.2958,3.22234,-18.9153,14.5825,-18.1206,9.65611,26.2915,21.3076,-24.4851,20.3733,9.3633,-31.0786,13.8999,-5.83205,12.1695,20.6314,23.1875,-23.0699
598,17.5454,3.20387,-18.807,15.2189,-18.5449,9.804,28.6153,22.284,-23.8559,21.7529,9.33539,-30.9961,14.6768,-6.33892,12.0899,23.1259,24.5686,-22.2855
599,18.7966,3.1782,-18.6561,15.8627,-18.943,9.9709,30.9818,23.2164,-23.2316,23.1217,9.2947,-30.8757,15.4596,-6.86024,12.0276,25.6942,25.9015,-21.4847
600,20.0464,3.14528,-18.4621,16.5202,-19.3141,10.1581,33.3895,24.1006,-22.6166,24.4753,9.24196,-30.7193,16.2521,-7.3942,11.9838,28.3336,27.1799,-20.6685
601,21.2919,3.10516,-18.2251,17.197,-19.6575,10.3666,35.8363,24.9333,-22.0155,25.8095,9.17799,-30.5289,17.0581,-7.93889,11.9594,31.0409,28.3987,-19.8382
602,22.5302,3.05803,-17.9458,17.8984,-19.9733,10.5973,38.3196,25.7119,-21.4323,27.1207,9.10363,-30.3067,17.8813,-8.49233,11.9549,33.8124,29.5528,-18.9954
603,23.759,3.00416,-17.6256,18.6286,-20.2615,10.8505,40.8365,26.4343,-20.8708,28.4055,9.01974,-30.0549,18.7245,-9.05254,11.9706,36.6439,30.638,-18.1422
604,24.9758,2.94396,-17.2663,19.3912,-20.5231,11.1262,43.3836,27.0993,-20.3342,29.6611,8.92716,-29.7755,19.5904,-9.61751,12.0065,39.5304,31.6505,-17.281
605,26.1788,2.87789,-16.8705,20.1884,-20.7589,11.4238,45.957,27.7062,-19.8251,30.8849,8.82667,-29.4704,20.4805,-10.1853,12.0626,42.4665,32.587,-16.415
606,27.3663,2.80651,-16.441,21.0216,-20.9705,11.7425,48.5527,28.2553,-19.3454,32.0746,8.719,-29.1415,21.3962,-10.7539,12.1383,45.4463,33.4446,-15.5476
607,28.5369,2.7304,-15.981,21.8909,-21.1597,12.0808,51.1667,28.747,-18.8964,33.2285,8.60482,-28.7903,22.3376,-11.3216,12.2332,48.4633,34.221,-14.683
608,29.6896,2.65018,-15.4939,22.7953,-21.3286,12.4372,53.7947,29.1827,-18.4787,34.3451,8.48473,-28.4182,23.3044,-11.8867,12.3466,51.5106,34.9144,-13.8256
609,30.8234,2.56647,-14.9832,23.733,-21.4795,12.8094,56.4326,29.564,-18.0922,35.4233,8.35933,-28.0268,24.2958,-12.4473,12.4778,54.5808,35.5235,-12.9804
610,31.9379,2.47988,-14.4525,24.7012,-21.6152,13.1953,59.0763,29.8928,-17.7363,36.4624,8.22915,-27.6173,25.3101,-13.0021,12.6262,57.6665,36.0474,-12.1523
611,33.0327,2.39102,-13.9051,25.6963,-21.7384,13.5925,61.7219,30.1711,-17.41,37.4621,8.09475,-27.1912,26.3452,-13.5496,12.7909,60.7598,36.486,-11.3466
