Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
317,7.46597,0.451428,-4.81601,16.1406,-7.99931,-23.7177,9.89412,0.88103,2.38439,10.0404,-6.27466,26.0363,17.0188,-11.8828,-25.6844,7.07397,-0.4747,-21.1342
318,8.29514,0.442336,-4.69462,17.0616,-8.1444,-23.7622,11.4521,0.562789,2.85634,10.9659,-6.28137,26.0649,18.1035,-12.0643,-26.0985,8.82379,-1.04113,-20.341
319,9.3156,0.434121,-4.58496,18.211,-8.3208,-23.8047,13.4022,0.166306,3.43669,12.0956,-6.26567,26.0104,19.4569,-12.2903,-26.52,10.9961,-1.7528,-19.3886
320,10.4747,0.428697,-4.51259,19.5382,-8.51839,-23.8379,15.662,-0.290057,4.09537,13.3659,-6.21625,25.8293,21.0191,-12.5502,-26.8815,13.4912,-2.57568,-18.3371
321,11.7129,0.427751,-4.50003,20.9846,-8.72615,-23.8577,18.1349,-0.784977,4.79876,14.7054,-6.12406,25.4855,22.7211,-12.8324,-27.1189,16.1967,-3.46475,-17.2502
322,12.9777,0.432417,-4.56242,22.4977,-8.93461,-23.8647,20.7343,-1.29992,5.5174,16.0515,-5.98381,24.9563,24.501,-13.1267,-27.1828,19.0146,-4.3731,-16.1807
323,14.2292,0.44319,-4.7063,24.0376,-9.13688,-23.8649,23.394,-1.8225,6.22952,17.3572,-5.79437,24.2332,26.3115,-13.4257,-27.043,21.8727,-5.25803,-15.1657
324,15.4419,0.459968,-4.93028,25.5789,-9.32886,-23.8696,26.0704,-2.34803,6.92171,18.593,-5.55846,23.3222,28.1213,-13.7252,-26.6883,24.7254,-6.08463,-14.2263
325,16.6024,0.482198,-5.22687,27.1091,-9.50896,-23.8943,28.7399,-2.87977,7.58796,19.7452,-5.28195,22.2411,29.9139,-14.0237,-26.1243,27.5506,-6.82763,-13.3701
326,17.7072,0.509056,-5.58498,28.6263,-9.67769,-23.9569,31.3945,-3.42823,8.22803,20.8124,-4.97289,21.0169,31.6839,-14.3219,-25.3707,30.3426,-7.47208,-12.5954
327,18.7593,0.539638,-5.99248,30.1364,-9.8372,-24.076,34.0372,-4.00975,8.84561,21.802,-4.6406,19.6825,33.4343,-14.6214,-24.4574,33.1067,-8.01308,-11.8943
328,19.7654,0.573149,-6.43859,31.6506,-9.99082,-24.2682,36.6771,-4.64447,9.44667,22.7262,-4.29467,18.2739,35.173,-14.9242,-23.4216,35.8537,-8.4551,-11.256
329,20.7341,0.609044,-6.9159,33.1835,-10.1427,-24.5459,39.3268,-5.35392,10.0379,23.5995,-3.9442,16.8267,36.9112,-15.2319,-22.3048,38.5966,-8.81062,-10.6687
330,21.674,0.647133,-7.42159,34.7513,-10.2975,-24.9159,41.9999,-6.15835,10.6258,24.4359,-3.59705,15.3731,38.6611,-15.5455,-21.1504,41.3484,-9.09848,-10.121
331,22.5928,0.687626,-7.95801,36.3705,-10.4599,-25.3769,44.7093,-7.07399,11.2154,25.2477,-3.25935,13.9401,40.4354,-15.8646,-20.0002,44.1206,-9.34185,-9.60247
332,23.4968,0.731112,-8.53237,38.0573,-10.6341,-25.9195,47.4671,-8.11053,11.8098,26.0442,-2.9352,12.5468,42.2458,-16.1882,-18.893,46.9228,-9.56595,-9.10376
333,24.3911,0.778486,-9.15562,39.826,-10.824,-26.5254,50.2838,-9.26904,12.4099,26.8317,-2.62655,11.2041,44.103,-16.5138,-17.862,49.7628,-9.7957,-8.61675
334,25.279,0.830821,-9.84068,41.6884,-11.0318,-27.1686,53.1679,-10.5407,13.0138,27.6129,-2.3333,9.91432,46.0159,-16.8385,-16.933,52.6462,-10.0536,-8.1342
335,26.163,0.889202,-10.6003,43.6534,-11.2588,-27.8171,56.126,-11.9061,13.6172,28.3882,-2.05356,8.67183,47.9913,-17.1587,-16.1236,55.577,-10.3577,-7.64967
336,27.0446,0.954544,-11.4446,45.7253,-11.5046,-28.4346,59.1624,-13.3363,14.2131,29.1555,-1.78406,7.46461,50.0336,-17.4707,-15.4426,58.5572,-10.7206,-7.1574
337,27.9249,1.02742,-12.3789,47.9037,-11.7671,-28.9841,62.278,-14.7938,14.7929,29.9115,-1.52062,6.27621,52.1447,-17.7704,-14.8894,61.5871,-11.1479,-6.65238
338,28.8041,1.10791,-13.4019,50.1832,-12.043,-29.4301,65.4701,-16.2354,15.3461,30.6521,-1.25869,5.08801,54.3239,-18.0538,-14.455,64.6652,-11.6387,-6.13037
