Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
75,4.1109,0.299173,-2.77731,5.7082,-4.68028,-18.4049,1.73626,2.00592,-0.0460775,5.58343,-5.36542,22.5914,3.96715,-11.4331,-18.4023,-2.63914,1.12816,-26.1393
76,4.39573,0.31589,-3.00137,6.12019,-4.72016,-18.4358,2.40137,1.94916,0.204215,5.77081,-5.36471,22.5901,4.25088,-11.5214,-18.3528,-2.25221,1.12217,-26.0926
77,4.80006,0.337174,-3.28657,6.70463,-4.79499,-18.5172,3.37098,1.84694,0.559876,6.06582,-5.36839,22.6069,4.66084,-11.6305,-18.3217,-1.65545,1.09664,-26.0077
78,5.32716,0.36151,-3.61262,7.47654,-4.91486,-18.6678,4.67215,1.68585,1.02159,6.4916,-5.37774,22.6471,5.21768,-11.7552,-18.3267,-0.807983,1.04035,-25.8713
79,5.97078,0.386714,-3.95023,8.44258,-5.08817,-18.9029,6.31041,1.45455,1.57904,7.07007,-5.39149,22.7056,5.94365,-11.8904,-18.3844,0.328642,0.939998,-25.6638
80,6.71855,0.410661,-4.27093,9.59826,-5.3208,-19.2311,8.26885,1.14645,2.2134,7.81987,-5.40407,22.7604,6.86033,-12.0325,-18.5081,1.78878,0.781452,-25.3561
81,7.55488,0.431782,-4.55376,10.9261,-5.61574,-19.6512,10.509,0.761853,2.90042,8.75256,-5.40508,22.7699,7.9846,-12.1796,-18.7049,3.59818,0.551644,-24.9104
82,8.46229,0.449242,-4.78753,12.3962,-5.97288,-20.1515,12.9744,0.308921,3.61434,9.86817,-5.3805,22.6775,9.32452,-12.3315,-18.972,5.76798,0.241388,-24.2881
83,9.42243,0.463109,-4.97314,13.9697,-6.3887,-20.71,15.5957,-0.196619,4.33347,11.1514,-5.3152,22.4214,10.8758,-12.4894,-19.2936,8.28852,-0.151001,-23.461
84,10.4176,0.474561,-5.12626,15.6032,-6.85639,-21.2969,18.2994,-0.733511,5.04556,12.5698,-5.19579,21.9447,12.6195,-12.6552,-19.6396,11.1249,-0.615917,-22.4204
85,11.4331,0.485845,-5.2768,17.2561,-7.36633,-21.8791,21.0177,-1.27912,5.75004,14.075,-5.01264,21.2045,14.5211,-12.8313,-19.9668,14.2158,-1.12959,-21.1819
86,12.4588,0.499839,-5.46299,18.8975,-7.90677,-22.4261,23.6989,-1.8153,6.45599,15.6078,-4.7612,20.1771,16.5336,-13.0192,-20.2224,17.4779,-1.65349,-19.7847
