Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
320,8.48362,-0.776196,11.523,17.2999,-11.7123,-29.0734,13.2175,-0.203242,3.18955,13.8958,-6.08827,25.3303,13.7865,-10.8487,-30.7089,11.0119,0.0308762,-20.4504
321,8.29749,-0.742043,11.078,17.4846,-11.5171,-28.8239,13.2333,-0.14426,3.22165,13.7966,-5.95489,24.8241,14.0296,-10.9653,-29.838,10.9629,0.086387,-20.6749
322,8.11168,-0.697096,10.4918,17.7599,-11.284,-28.5516,13.3406,-0.0969424,3.29938,13.7211,-5.7879,24.1876,14.3763,-11.1209,-28.7471,10.97,0.140847,-20.9253
323,7.95858,-0.644197,9.80105,18.1329,-11.0371,-28.2848,13.58,-0.0780457,3.42113,13.7005,-5.59848,23.4626,14.8229,-11.3054,-27.5003,11.0645,0.184905,-21.1781
324,7.86826,-0.588676,9.07533,18.6027,-10.8092,-28.0457,13.9855,-0.104158,3.56567,13.7687,-5.40315,22.7119,15.351,-11.4992,-26.1914,11.2728,0.209143,-21.4109
325,7.86296,-0.536947,8.39853,19.1623,-10.6342,-27.8424,14.5804,-0.189319,3.69902,13.9607,-5.22028,22.0065,15.9348,-11.6785,-24.9289,11.6179,0.203561,-21.6008
326,7.9568,-0.494239,7.83934,19.8025,-10.5388,-27.6679,15.3777,-0.343838,3.79075,14.3107,-5.06603,21.4098,16.5525,-11.8232,-23.8191,12.125,0.156273,-21.7213
327,8.15922,-0.462508,7.42346,20.5157,-10.5341,-27.5034,16.3827,-0.573788,3.83107,14.849,-4.95058,20.9628,17.1957,-11.9248,-22.9482,12.8245,0.0530111,-21.7393
328,8.47929,-0.439576,7.12211,21.2995,-10.6133,-27.325,17.5967,-0.880676,3.84009,15.5966,-4.87598,20.6746,17.8737,-11.9899,-22.3689,13.7512,-0.122055,-21.6159
329,8.92841,-0.419864,6.86145,22.1576,-10.7538,-27.1092,19.019,-1.26082,3.86446,16.5583,-4.83593,20.521,18.6123,-12.0378,-22.0944,14.939,-0.384725,-21.3114
