Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
315,6.0268,5.32767,-25.574,-1.63456,-4.7835,20.0005,0.95093,1.76661,-7.91901,4.96678,1.94687,-21.9571,-2.43939,-7.13797,8.60285,2.09144,1.39358,-13.544
316,5.94532,5.29204,-25.4423,-1.6763,-4.77205,19.9362,0.839499,1.69799,-8.00562,4.91872,1.93243,-21.8278,-2.43258,-7.1295,8.48483,2.05562,1.37311,-13.5823
317,5.85313,5.25162,-25.2928,-1.7185,-4.7569,19.859,0.715663,1.6204,-8.09938,4.86704,1.91563,-21.6773,-2.41406,-7.12135,8.33435,2.02814,1.35088,-13.6149
318,5.75933,5.21028,-25.1397,-1.75404,-4.73829,19.7739,0.593,1.54147,-8.18864,4.81843,1.89789,-21.5182,-2.37936,-7.11515,8.15639,2.01935,1.32953,-13.6322
319,5.67329,5.17204,-24.998,-1.77593,-4.71659,19.6864,0.485409,1.46909,-8.2618,4.77959,1.88064,-21.3635,-2.32457,-7.1125,7.95724,2.03909,1.31167,-13.6254
320,5.60301,5.14023,-24.8802,-1.77833,-4.69223,19.6011,0.404807,1.40994,-8.30923,4.75617,1.86513,-21.2241,-2.24668,-7.11472,7.74277,2.09543,1.2994,-13.5872
321,5.55456,5.11732,-24.7953,-1.75685,-4.66558,19.5217,0.360303,1.36906,-8.32404,4.75243,1.85225,-21.1082,-2.14353,-7.12276,7.51764,2.19442,1.29414,-13.5126
322,5.53208,5.10483,-24.7491,-1.7085,-4.63694,19.4504,0.358287,1.34985,-8.30202,4.77129,1.84257,-21.0212,-2.01367,-7.13727,7.28504,2.34025,1.29672,-13.3987
323,5.53815,5.10351,-24.7445,-1.63133,-4.60653,19.3886,0.402964,1.35438,-8.2412,4.8146,1.83638,-20.9654,-1.85612,-7.15863,7.04684,2.53577,1.30744,-13.2439
324,5.57425,5.11355,-24.7822,-1.52416,-4.57454,19.3367,0.497033,1.38382,-8.14129,4.88349,1.83373,-20.9416,-1.67017,-7.18706,6.80383,2.78294,1.32628,-13.048
325,5.64123,5.13472,-24.8611,-1.38619,-4.54113,19.2946,0.642316,1.43875,-8.00319,4.97866,1.83454,-20.949,-1.4552,-7.22265,6.55603,3.08331,1.35297,-12.8114
326,5.73959,5.16653,-24.9794,-1.21681,-4.50646,19.2618,0.840261,1.51952,-7.82852,5.10062,1.83864,-20.986,-1.2106,-7.26546,6.303,3.4383,1.38715,-12.5351
327,5.86979,5.20837,-25.1346,-1.01541,-4.4707,19.2378,1.09227,1.62638,-7.61931,5.24986,1.84579,-21.0506,-0.935679,-7.3155,6.04407,3.8494,1.42837,-12.2202
328,6.03234,5.25956,-25.324,-0.781358,-4.43404,19.2219,1.39989,1.75965,-7.3778,5.42691,1.85575,-21.1403,-0.629715,-7.37281,5.77851,4.31824,1.4762,-11.8679
329,6.22789,5.31941,-25.5446,-0.513924,-4.39676,19.2134,1.76484,1.91975,-7.10627,5.6324,1.86825,-21.2529,-0.29194,-7.43743,5.5057,4.84657,1.53014,-11.4798
330,6.45721,5.3872,-25.7937,-0.212353,-4.35914,19.2118,2.18903,2.10717,-6.80697,5.86699,1.88307,-21.3862,0.0783844,-7.5094,5.2252,5.43618,1.58969,-11.057
331,6.72115,5.46226,-26.0682,0.124096,-4.32153,19.2166,2.67443,2.32244,-6.4821,6.13138,1.89997,-21.5379,0.481899,-7.58875,4.93681,6.08881,1.65432,-10.6011
332,7.02061,5.54393,-26.3654,0.496073,-4.28433,19.2275,3.22295,2.56611,-6.13371,6.4262,1.91874,-21.7062,0.919075,-7.67548,4.64067,6.80596,1.72341,-10.1137
333,7.35642,5.63154,-26.6825,0.904065,-4.24799,19.2439,3.83631,2.83861,-5.76373,6.75199,1.93922,-21.8892,1.39015,-7.76957,4.33722,7.58877,1.79633,-9.5964
334,7.72933,5.72449,-27.0171,1.34832,-4.21298,19.2658,4.51593,3.14024,-5.3739,7.1091,1.96123,-22.0855,1.89503,-7.87092,4.02731,8.4379,1.87237,-9.05099
335,8.13988,5.82218,-27.3665,1.82879,-4.17982,19.2929,5.26278,3.47111,-4.96575,7.49768,1.98465,-22.2938,2.4333,-7.97939,3.71216,9.3534,1.9508,-8.47942
336,8.58841,5.92403,-27.7285,2.34507,-4.14903,19.3252,6.07726,3.83105,-4.54062,7.9176,2.00939,-22.5132,3.00411,-8.09476,3.3934,10.3346,2.03089,-7.88381
337,9.07495,6.02953,-28.1009,2.89637,-4.12114,19.3625,6.95917,4.21959,-4.09959,8.36843,2.03539,-22.7429,3.60619,-8.21671,3.07301,11.3801,2.11197,-7.26638
338,9.59923,6.13818,-28.4816,3.48149,-4.09668,19.4051,7.90756,4.63591,-3.64354,8.84944,2.06261,-22.9827,4.23782,-8.34484,2.75336,12.4875,2.19342,-6.62953
339,10.1606,6.24955,-28.869,4.09879,-4.07612,19.453,8.92079,5.07886,-3.17312,9.35958,2.09106,-23.2323,4.89686,-8.47866,2.4371,13.6539,2.2748,-5.97574
340,10.7581,6.36323,-29.2614,4.74623,-4.05992,19.5064,9.99644,5.54689,-2.6888,9.89746,2.12076,-23.4919,5.58075,-8.6176,2.12716,14.8752,2.35585,-5.30758
341,11.3904,6.47887,-29.6573,5.4214,-4.04846,19.5658,11.1313,6.03812,-2.19093,10.4614,2.15177,-23.7619,6.28656,-8.76098,1.82659,16.1468,2.43652,-4.62769
342,12.0557,6.59615,-30.0556,6.12149,-4.04204,19.6314,12.3216,6.55028,-1.67977,11.0495,2.18415,-24.0425,7.01105,-8.90809,1.53852,17.4634,2.51703,-3.93869
