Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
180,5.53588,0.107214,-0.197793,8.92885,-2.90098,-20.6313,4.56544,0.51889,0.553189,10.3321,-5.36318,22.5828,11.502,-11.5204,-17.7498,6.63639,-1.36072,-20.0435
181,5.74986,0.110046,-0.235882,8.99186,-2.92164,-20.6695,4.93793,0.431282,0.605616,10.6184,-5.37018,22.61,11.5918,-11.5521,-17.9244,7.04706,-1.45006,-19.8677
182,6.04371,0.112849,-0.273586,9.09322,-2.95823,-20.7395,5.4581,0.312073,0.676968,10.9991,-5.37784,22.6399,11.7223,-11.5902,-18.1511,7.59882,-1.57681,-19.6317
183,6.41903,0.115419,-0.308151,9.24209,-3.01489,-20.8502,6.13442,0.159081,0.774215,11.4698,-5.38492,22.6678,11.898,-11.6319,-18.4221,8.28863,-1.74364,-19.3389
184,6.87431,0.117796,-0.340152,9.4472,-3.0947,-21.0097,6.97089,-0.0312038,0.909511,12.0222,-5.38974,22.6873,12.1219,-11.6743,-18.7255,9.1085,-1.9517,-18.9973
185,7.40681,0.120285,-0.37368,9.7159,-3.19902,-21.2243,7.96874,-0.264201,1.09724,12.648,-5.3904,22.6911,12.3963,-11.7154,-19.0482,10.0502,-2.2012,-18.6171
186,8.01351,0.123436,-0.416129,10.0527,-3.32723,-21.4968,9.12614,-0.546061,1.34892,13.3404,-5.38495,22.6716,12.7222,-11.7551,-19.3781,11.1074,-2.49162,-18.2096
187,8.6912,0.12795,-0.476942,10.4581,-3.47693,-21.8236,10.4372,-0.881547,1.6687,14.0948,-5.37133,22.6208,13.0991,-11.7951,-19.7045,12.2761,-2.82141,-17.7856
188,9.43619,0.134438,-0.564335,10.928,-3.64447,-22.1944,11.8919,-1.27231,2.05059,14.908,-5.34711,22.5288,13.5247,-11.8389,-20.0169,13.5534,-3.18735,-17.3554
189,10.2443,0.143181,-0.682058,11.4553,-3.82555,-22.5934,13.477,-1.71653,2.47847,15.7769,-5.30918,22.3831,13.9944,-11.8905,-20.3039,14.9361,-3.58402,-16.9277
