Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
184,5.94542,0.157211,-0.870128,8.95095,-2.34558,-20.341,6.17523,0.698023,1.38733,10.9387,-5.20499,21.9666,12.0691,-12.5615,-17.7515,7.94884,-1.63509,-18.6352
185,6.07752,0.144828,-0.703602,9.14412,-2.33741,-20.5978,6.4427,0.645408,1.50651,11.1628,-5.1914,21.9134,12.343,-12.6314,-17.8625,8.36926,-1.74961,-18.4834
186,6.26241,0.131358,-0.522473,9.39498,-2.32607,-20.9143,6.81358,0.563491,1.67758,11.4532,-5.17578,21.8523,12.6837,-12.7236,-18.0087,8.91107,-1.89616,-18.2936
187,6.5035,0.118565,-0.350481,9.69897,-2.31219,-21.2737,7.29256,0.446848,1.90367,11.8023,-5.15869,21.7854,13.0761,-12.8354,-18.1839,9.55847,-2.07019,-18.0745
188,6.80268,0.108416,-0.214091,10.0507,-2.2973,-21.6547,7.88139,0.291025,2.18417,12.1996,-5.13976,21.7111,13.503,-12.9616,-18.377,10.2903,-2.26628,-17.8356
189,7.16077,0.102806,-0.138803,10.4461,-2.28355,-22.0352,8.58048,0.0928529,2.51489,12.6342,-5.1173,21.6228,13.9502,-13.0952,-18.5748,11.0861,-2.48013,-17.5837
190,7.5769,0.103312,-0.145827,10.8822,-2.27313,-22.3935,9.38853,-0.148915,2.8878,13.0966,-5.08868,21.5099,14.4076,-13.2289,-18.7644,11.9291,-2.70937,-17.3215
191,8.0478,0.110954,-0.248874,11.3563,-2.26779,-22.7089,10.3012,-0.432678,3.29036,13.5796,-5.05111,21.3614,14.8687,-13.3558,-18.9361,12.8066,-2.95337,-17.0487
192,8.56751,0.126055,-0.452252,11.8644,-2.26881,-22.9608,11.3104,-0.753092,3.70566,14.078,-5.00275,21.1699,15.3291,-13.4701,-19.084,13.709,-3.21226,-16.7648
193,9.1276,0.14832,-0.751894,12.4011,-2.27718,-23.1293,12.4048,-1.10078,4.11423,14.5885,-4.94366,20.9354,15.7854,-13.5678,-19.2054,14.6281,-3.48568,-16.473
194,9.71851,0.177173,-1.13994,12.9603,-2.29398,-23.196,13.5709,-1.46305,4.49762,15.1094,-4.87593,20.666,16.2347,-13.6466,-19.2996,15.5576,-3.77205,-16.1816
195,10.3315,0.212183,-1.6104,13.5356,-2.32031,-23.1463,14.7959,-1.8253,4.84246,15.6407,-4.80293,20.3749,16.6762,-13.7059,-19.3662,16.4945,-4.06916,-15.9022
196,10.9602,0.253222,-2.16128,14.1215,-2.35707,-22.9707,16.0683,-2.17271,5.14271,16.1844,-4.72771,20.0739,17.1133,-13.7461,-19.4054,17.4418,-4.37597,-15.6446
197,11.6017,0.300245,-2.79167,14.7134,-2.40466,-22.6679,17.3787,-2.49172,5.39912,16.7453,-4.65113,19.766,17.5543,-13.7689,-19.4192,18.4103,-4.6946,-15.4096
198,12.2554,0.352904,-3.49658,15.3078,-2.46329,-22.2462,18.7196,-2.7712,5.61749,17.3305,-4.5708,19.4408,18.0118,-13.776,-19.4124,19.4178,-5.03105,-15.1851
199,12.9223,0.410302,-4.26364,15.9021,-2.5338,-21.7241,20.0842,-3.00301,5.80661,17.9476,-4.4814,19.0761,18.4995,-13.7692,-19.3928,20.4845,-5.39374,-14.9475
200,13.6027,0.470946,-5.07259,16.4944,-2.61872,-21.1281,21.4662,-3.18214,5.97575,18.6015,-4.37671,18.646,19.0281,-13.749,-19.369,21.6265,-5.79007,-14.6708
201,14.2961,0.532813,-5.89623,17.0841,-2.72283,-20.4896,22.8591,-3.30706,6.13199,19.2919,-4.25251,18.1328,19.6022,-13.7146,-19.3469,22.8489,-6.22209,-14.3396
202,14.9994,0.593515,-6.70268,17.6718,-2.85276,-19.8433,24.2568,-3.38099,6.27921,20.0117,-4.109,17.5369,20.2186,-13.6639,-19.3249,24.1425,-6.68331,-13.9598
203,15.7079,0.650589,-7.45931,18.2598,-3.01541,-19.2269,25.6542,-3.41374,6.42005,20.7469,-3.95151,16.88,20.8671,-13.5942,-19.2912,25.4842,-7.15783,-13.5622
204,16.4158,0.701881,-8.13775,18.8514,-3.21521,-18.6815,27.0487,-3.42334,6.55937,21.4794,-3.78889,16.1988,21.5335,-13.5033,-19.2246,26.8438,-7.62294,-13.1945
205,17.1181,0.745876,-8.71835,19.4504,-3.45128,-18.2486,28.4404,-3.43611,6.70601,22.1914,-3.63054,15.5324,22.2037,-13.3917,-19.0993,28.1924,-8.05463,-12.9064
206,17.8123,0.781846,-9.19194,20.0605,-3.71573,-17.9674,29.8314,-3.48468,6.87128,22.8709,-3.48324,14.9095,22.8676,-13.2637,-18.8928,29.5108,-8.43401,-12.7327
207,18.4978,0.809767,-9.55868,20.6838,-3.99407,-17.8684,31.2241,-3.60352,7.06515,23.5159,-3.34907,14.3388,23.5203,-13.1271,-18.5934,30.794,-8.75186,-12.6821
208,19.175,0.830153,-9.82579,21.3206,-4.26776,-17.9669,32.6189,-3.82283,7.29265,24.1334,-3.22517,13.8084,24.1611,-12.9931,-18.2048,32.0491,-9.00946,-12.7348
209,19.8435,0.843971,-10.0064,21.9693,-4.51786,-18.2571,34.0122,-4.16193,7.5519,24.7363,-3.10592,13.2944,24.7901,-12.8737,-17.746,33.2888,-9.21565,-12.8518
210,20.5006,0.852609,-10.1189,22.6268,-4.72857,-18.7082,35.397,-4.62423,7.83353,25.3362,-2.98642,12.7763,25.4063,-12.7804,-17.2479,34.5232,-9.38211,-12.9909
211,21.1419,0.857753,-10.1856,23.2899,-4.88943,-19.2675,36.7634,-5.19598,8.12134,25.9396,-2.86516,12.248,26.0066,-12.7224,-16.7471,35.7543,-9.51948,-13.1207
212,21.7629,0.861136,-10.2294,23.9558,-4.99592,-19.8701,38.1018,-5.84958,8.39462,26.5446,-2.7438,11.7172,26.587,-12.7057,-16.2791,36.9756,-9.63593,-13.2237
213,22.36,0.864278,-10.27,24.6225,-5.04895,-20.4514,39.405,-6.54979,8.63208,27.1432,-2.62489,11.1953,27.1449,-12.7323,-15.8734,38.1768,-9.73833,-13.2896
214,22.9322,0.868357,-10.3228,25.2875,-5.05394,-20.959,40.6698,-7.26033,8.81693,27.7248,-2.50982,10.6885,27.6807,-12.7997,-15.55,39.3489,-9.83416,-13.3098
215,23.4802,0.874266,-10.3995,25.9472,-5.01993,-21.3596,41.8958,-7.94884,8.94195,28.281,-2.39837,10.1959,28.1979,-12.9014,-15.3177,40.4882,-9.93278,-13.2765
216,24.0064,0.882767,-10.5098,26.5958,-4.95889,-21.6406,43.0844,-8.5898,9.01291,28.8087,-2.28961,9.71382,28.7014,-13.0269,-15.1746,41.5964,-10.0448,-13.1868
217,24.5143,0.894529,-10.6622,27.2246,-4.88469,-21.8074,44.2361,-9.16579,9.04766,29.3105,-2.18292,9.23944,29.1958,-13.1632,-15.1101,42.678,-10.1802,-13.0454
218,25.0068,0.909933,-10.8617,27.8233,-4.81154,-21.8787,45.3486,-9.66758,9.06956,29.7923,-2.07849,8.77389,29.6837,-13.297,-15.1086,43.7373,-10.3462,-12.864
219,25.4846,0.928884,-11.1068,28.3819,-4.75228,-21.88,46.4176,-10.093,9.09948,30.26,-1.97739,8.32218,30.1659,-13.4168,-15.1533,44.7764,-10.5463,-12.6573
220,25.9463,0.950891,-11.391,28.8934,-4.71669,-21.8377,47.438,-10.4454,9.1514,30.7172,-1.88121,7.89148,30.6424,-13.5147,-15.2287,45.7944,-10.7803,-12.4402
221,26.39,0.975269,-11.7053,29.3558,-4.71058,-21.775,48.4075,-10.7326,9.23185,31.1648,-1.79126,7.48794,31.1136,-13.5866,-15.3234,46.7889,-11.0455,-12.2234
222,26.8155,1.00113,-12.0382,29.7731,-4.73601,-21.713,49.3289,-10.9675,9.34003,31.6022,-1.70803,7.11385,31.5813,-13.632,-15.4306,47.758,-11.3395,-12.0113
223,27.2256,1.02725,-12.3739,30.1546,-4.79244,-21.6723,50.2111,-11.1694,9.46807,32.0289,-1.63111,6.76756,32.0475,-13.6524,-15.5496,48.7016,-11.661,-11.8027
224,27.6254,1.05212,-12.693,30.5126,-4.87807,-21.6725,51.0667,-11.3612,9.60302,32.4452,-1.55971,6.44557,32.5142,-13.6506,-15.6842,49.6215,-12.0106,-11.5934
225,28.0202,1.07433,-12.9778,30.8599,-4.99055,-21.7276,51.9092,-11.5643,9.73098,32.8525,-1.49309,6.14475,32.9816,-13.6293,-15.8399,50.5204,-12.3882,-11.3806
226,28.4146,1.09312,-13.2182,31.2058,-5.12691,-21.8405,52.7491,-11.7923,9.84152,33.2521,-1.43075,5.86289,33.448,-13.5911,-16.0203,51.4004,-12.7913,-11.1641
227,28.8105,1.10855,-13.4152,31.5555,-5.2831,-22.0001,53.5914,-12.0468,9.92982,33.6445,-1.37224,5.59808,33.9097,-13.539,-16.2244,52.2623,-13.2121,-10.9467
228,29.2073,1.1215,-13.5802,31.9086,-5.45319,-22.1823,54.4347,-12.3171,9.99599,34.0285,-1.31697,5.34768,34.362,-13.4771,-16.4442,53.1054,-13.637,-10.7323
229,29.6016,1.13338,-13.731,32.261,-5.62911,-22.355,55.2729,-12.583,10.0429,34.4013,-1.26406,5.1078,34.8003,-13.4116,-16.6653,53.9274,-14.0482,-10.5251
230,29.989,1.14559,-13.8856,32.6065,-5.80097,-22.4878,56.0966,-12.822,10.0741,34.76,-1.21238,4.87327,35.2204,-13.3504,-16.8692,54.726,-14.4256,-10.3274
231,30.3645,1.15911,-14.0564,32.9386,-5.95824,-22.5605,56.8962,-13.0173,10.0917,35.102,-1.16052,4.63776,35.6186,-13.3024,-17.0375,55.4987,-14.7514,-10.1387
232,30.7239,1.17423,-14.2472,33.2511,-6.09116,-22.5679,57.663,-13.1622,10.0972,35.426,-1.10697,4.39435,35.9912,-13.2769,-17.1557,56.2436,-15.0123,-9.9554
233,31.0639,1.19067,-14.4544,33.539,-6.19233,-22.5202,58.3903,-13.2618,10.0924,35.7316,-1.05032,4.1367,36.3335,-13.2808,-17.2155,56.9579,-15.2015,-9.77153
234,31.3829,1.20776,-14.6695,33.7977,-6.25804,-22.4394,59.073,-13.3307,10.0811,36.019,-0.989635,3.86048,36.6406,-13.3181,-17.2156,57.6389,-15.3187,-9.58118
235,31.6803,1.22475,-14.8831,34.0241,-6.28909,-22.354,59.7079,-13.3895,10.0701,36.2875,-0.924685,3.56469,36.9079,-13.3884,-17.161,58.283,-15.3692,-9.38013
236,31.956,1.24102,-15.0873,34.2162,-6.29099,-22.2924,60.2932,-13.4594,10.0683,36.5359,-0.856142,3.25236,37.1324,-13.4865,-17.0627,58.887,-15.3634,-9.16726
237,32.2106,1.25617,-15.2771,34.3738,-6.27314,-22.2749,60.8283,-13.556,10.0844,36.7633,-0.785584,2.93071,37.314,-13.6033,-16.9356,59.4485,-15.3155,-8.94532
