Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
284,2.33065,0.304972,-2.85533,11.0461,-8.18097,-16.1671,1.36058,2.86437,-0.487745,8.16803,-6.70815,27.5926,12.2794,-10.5898,-26.691,4.44557,-0.252688,-23.0622
285,2.53521,0.305091,-2.85694,11.4951,-8.20068,-16.2662,1.84874,2.78347,-0.355448,8.38189,-6.64365,27.3602,12.7121,-10.6988,-26.7923,4.93414,-0.273712,-22.7322
286,2.81508,0.306152,-2.87118,12.0749,-8.2066,-16.386,2.52825,2.65867,-0.174511,8.66454,-6.56326,27.0702,13.2474,-10.8586,-26.8991,5.57394,-0.304202,-22.3395
287,3.17334,0.308769,-2.90628,12.7691,-8.19154,-16.5209,3.40876,2.48509,0.058855,9.0127,-6.47327,26.7452,13.8585,-11.0732,-27.0005,6.35266,-0.346578,-21.9144
288,3.6124,0.313635,-2.97155,13.5559,-8.15355,-16.6664,4.49507,2.26185,0.349163,9.42139,-6.38251,26.4172,14.5148,-11.3419,-27.0899,7.25223,-0.404126,-21.4894
289,4.1352,0.321365,-3.07522,14.4173,-8.09786,-16.8208,5.79161,1.99089,0.700631,9.88632,-6.29924,26.1161,15.1901,-11.6594,-27.1649,8.25523,-0.480181,-21.0896
290,4.74421,0.332279,-3.22157,15.3431,-8.03609,-16.9854,7.30367,1.67498,1.11438,10.4045,-6.22803,25.8584,15.8677,-12.0165,-27.2257,9.34858,-0.576745,-20.7257
291,5.43917,0.34619,-3.40811,16.3334,-7.98341,-17.1653,9.03564,1.31618,1.58621,10.9738,-6.1677,25.6397,16.5426,-12.4026,-27.2719,10.5253,-0.693602,-20.3904
292,6.21429,0.362342,-3.62465,17.3955,-7.95519,-17.3693,10.9871,0.915785,2.10667,11.5913,-6.11153,25.4347,17.2216,-12.8079,-27.3018,11.7847,-0.828714,-20.0611
293,7.05608,0.379649,-3.85667,18.54,-7.96416,-17.6078,13.1481,0.475682,2.66396,12.2528,-6.04922,25.2045,17.9224,-13.225,-27.3119,13.1308,-0.979754,-19.706
294,7.94303,0.397227,-4.09223,19.7745,-8.0189,-17.8907,15.4955,4.69E-05,3.24817,12.952,-5.96986,24.9074,18.6695,-13.6487,-27.2972,14.5699,-1.14564,-19.2938
295,8.84771,0.414881,-4.32865,21.0994,-8.12325,-18.2254,17.9928,-0.504162,3.85448,13.6801,-5.86473,24.5095,19.489,-14.0754,-27.2502,16.107,-1.32672,-18.8029
296,9.74105,0.433243,-4.57427,22.5059,-8.27684,-18.6163,20.5935,-1.0282,4.48273,14.4261,-5.72899,23.9907,20.4025,-14.5017,-27.1589,17.7419,-1.52318,-18.2288
297,10.5976,0.453505,-4.84487,23.9777,-8.47613,-19.0654,23.2481,-1.56304,5.13321,15.1776,-5.56166,23.3451,21.4235,-14.9233,-27.005,19.469,-1.73248,-17.5855
298,11.4004,0.476988,-5.1579,25.4957,-8.71572,-19.5713,25.9104,-2.10022,5.80107,15.9229,-5.36464,22.5777,22.5572,-15.3352,-26.7641,21.2787,-1.94783,-16.9019
299,12.1445,0.504796,-5.52786,27.0414,-8.98953,-20.128,28.5432,-2.63155,6.47316,16.6542,-5.1416,21.7003,23.8029,-15.7312,-26.4095,23.1621,-2.15871,-16.2157
300,12.8373,0.537617,-5.96371,28.5992,-9.29199,-20.723,31.1197,-3.14772,7.12929,17.37,-4.89781,20.7315,25.1563,-16.1046,-25.9179,25.1145,-2.35363,-15.5671
301,13.4961,0.575603,-6.46727,30.1552,-9.61922,-21.3367,33.6224,-3.63678,7.74666,18.0767,-4.64035,19.698,26.6117,-16.4483,-25.2747,27.1377,-2.52341,-14.9944
302,14.1446,0.618235,-7.03152,31.696,-9.96966,-21.9433,36.0391,-4.08404,8.30375,18.7873,-4.37787,18.6337,28.1625,-16.7557,-24.4787,29.2384,-2.66336,-14.5292
303,14.8086,0.66416,-7.6385,33.2088,-10.3434,-22.5152,38.361,-4.47557,8.78189,19.518,-4.11902,17.5733,29.8016,-17.0219,-23.5432,31.4251,-2.77378,-14.1895
304,15.5122,0.711121,-8.25845,34.6846,-10.7406,-23.0298,40.5821,-4.8055,9.16655,20.2844,-3.87019,16.5432,31.5216,-17.2454,-22.4954,33.7047,-2.85955,-13.9726
305,16.2748,0.756263,-8.85392,36.1215,-11.1594,-23.4783,42.7011,-5.08455,9.45267,21.0973,-3.63386,15.5541,33.3148,-17.4292,-21.3742,36.0806,-2.92978,-13.851
306,17.1089,0.796896,-9.38972,37.5278,-11.5957,-23.8725,44.7259,-5.34577,9.65401,21.9607,-3.40855,14.6003,35.174,-17.5815,-20.227,38.55,-2.99818,-13.7749
307,18.0184,0.831387,-9.84463,38.9225,-12.0442,-24.2482,46.677,-5.64453,9.81008,22.872,-3.19002,13.6648,37.0934,-17.7147,-19.1041,41.1044,-3.08302,-13.6821
308,18.9967,0.859721,-10.2185,40.3339,-12.5001,-24.6608,48.5896,-6.05189,9.98307,23.8219,-2.97267,12.7241,39.0688,-17.8429,-18.0512,43.7306,-3.20525,-13.5097
309,20.0279,0.883582,-10.533,41.7977,-12.9614,-25.1749,50.5126,-6.64267,10.2443,24.7956,-2.7505,11.753,41.0992,-17.9795,-17.1008,46.4141,-3.38462,-13.2065
310,21.0908,0.906101,-10.8282,43.352,-13.4299,-25.85,52.5031,-7.48085,10.6565,25.7751,-2.51785,10.7273,43.1873,-18.1337,-16.267,49.1432,-3.63614,-12.7409
311,22.1661,0.931475,-11.1576,45.0325,-13.9103,-26.7245,54.6189,-8.60511,11.26,26.743,-2.27042,9.62816,45.3389,-18.3087,-15.5478,51.9125,-3.97013,-12.1047
312,23.2424,0.964496,-11.5812,46.8645,-14.4072,-27.8006,56.9091,-10.0162,12.066,27.6866,-2.00624,8.44726,47.5616,-18.5021,-14.9331,54.7234,-4.396,-11.3105
313,24.3186,1.00989,-12.1579,48.8567,-14.9197,-29.0308,59.4039,-11.6672,13.0569,28.6002,-1.72606,7.18819,49.862,-18.7093,-14.4162,57.5825,-4.9256,-10.3853
314,25.4002,1.07138,-12.9327,50.998,-15.4382,-30.3128,62.1073,-13.4601,14.1901,29.4837,-1.433,5.86532,52.2414,-18.9261,-13.9988,60.4962,-5.57209,-9.36505
315,26.4908,1.15054,-13.9232,53.2583,-15.9446,-31.4956,64.9941,-15.2515,15.4012,30.3395,-1.13179,4.50055,54.6926,-19.151,-13.6892,63.4661,-6.34364,-8.29075
316,27.5849,1.24594,-15.1089,55.5941,-16.4159,-32.4019,68.013,-16.8709,16.6081,31.1703,-0.828045,3.12001,57.198,-19.3834,-13.4957,66.4846,-7.23611,-7.20675
317,28.6662,1.35279,-16.4279,57.956,-16.8298,-32.863,71.0956,-18.1518,17.7172,31.9777,-0.527575,1.75116,59.7299,-19.6223,-13.4184,69.5349,-8.22901,-6.15812
318,29.711,1.46363,-17.7867,60.2961,-17.17,-32.7565,74.1686,-18.9666,18.6357,32.7623,-0.235687,0.4193,62.2536,-19.8642,-13.4443,72.5934,-9.28668,-5.18582
319,30.6955,1.57005,-19.082,62.5742,-17.4311,-32.0344,77.167,-19.2519,19.2912,33.5229,0.0436859,-0.856405,64.7326,-20.1011,-13.5461,75.6342,-10.3633,-4.32059
320,31.601,1.6649,-20.2278,64.76,-17.6218,-30.7309,80.0434,-19.0175,19.6511,34.258,0.308751,-2.06655,67.1335,-20.3185,-13.6829,78.6328,-11.4083,-3.57799
321,32.4169,1.74381,-21.1735,66.835,-17.7634,-28.9541,82.7732,-18.3407,19.7295,34.9669,0.560263,-3.21344,69.4305,-20.4966,-13.8004,81.5693,-12.3691,-2.95554
322,33.142,1.80553,-21.907,68.7923,-17.8839,-26.8694,85.3542,-17.352,19.5767,35.6504,0.801313,-4.31015,71.6072,-20.6152,-13.833,84.4295,-13.1922,-2.43292
323,33.7826,1.85136,-22.4462,70.6348,-18.0086,-24.6752,87.8019,-16.2137,19.2578,36.311,1.03628,-5.37581,73.6576,-20.6604,-13.7079,87.2054,-13.8253,-1.97618
324,34.3507,1.88421,-22.8281,72.3721,-18.1529,-22.5742,90.1425,-15.0948,18.8342,36.9525,1.26895,-6.42706,75.5841,-20.6312,-13.3559,89.8942,-14.223,-1.54703
325,34.8608,1.90788,-23.0991,74.0161,-18.3197,-20.743,92.405,-14.1441,18.3545,37.5786,1.50048,-7.46884,77.3939,-20.5398,-12.7277,92.4962,-14.3579,-1.11471
326,35.3271,1.92645,-23.308,75.5764,-18.5014,-19.3069,94.6162,-13.4702,17.8562,38.1925,1.72836,-8.48992,79.0946,-20.4085,-11.808,95.0121,-14.2289,-0.66457
327,35.7624,1.94395,-23.502,77.0591,-18.6839,-18.3272,96.7983,-13.132,17.3724,38.7956,1.94725,-9.46646,80.69,-20.2653,-10.6179,97.4411,-13.8612,-0.197809
328,36.1772,1.9641,-23.7237,78.4659,-18.8504,-17.8009,98.9667,-13.1388,16.9364,39.3872,2.15122,-10.3724,82.179,-20.1391,-9.20824,99.7806,-13.3007,0.276815
329,36.5801,1.98985,-24.0067,79.796,-18.9867,-17.6707,101.129,-13.4571,16.5788,39.9637,2.33646,-11.191,83.5545,-20.0538,-7.65562,102.027,-12.6095,0.752413
330,36.9769,2.02291,-24.3698,81.0455,-19.0875,-17.8393,103.282,-14.0208,16.3199,40.5191,2.50285,-11.9224,84.8044,-20.023,-6.05989,104.178,-11.8643,1.22849
331,37.3706,2.06329,-24.8128,82.2077,-19.1595,-18.1878,105.412,-14.742,16.1635,41.0458,2.65371,-12.5816,85.9156,-20.0484,-4.53206,106.235,-11.1498,1.70983
332,37.7623,2.10923,-25.3155,83.2738,-19.2195,-18.596,107.499,-15.5235,16.0956,41.536,2.79372,-13.1898,86.8829,-20.1222,-3.16714,108.204,-10.5409,2.20241
333,38.1507,2.15741,-25.8412,84.2348,-19.2893,-18.9599,109.517,-16.2684,16.0894,41.9828,2.9264,-13.7632,87.7166,-20.233,-2.01577,110.094,-10.0845,2.70961
334,38.5315,2.20357,-26.3434,85.0837,-19.3908,-19.2038,111.441,-16.8914,16.1144,42.3816,3.05248,-14.3057,88.4438,-20.3715,-1.07181,111.92,-9.79028,3.23113
335,38.8949,2.24323,-26.7737,85.8176,-19.5414,-19.2813,113.251,-17.3274,16.1463,42.7309,3.17022,-14.8104,89.1012,-20.5328,-0.284305,113.696,-9.63531,3.76643
336,39.2261,2.2725,-27.0907,86.4407,-19.7526,-19.1686,114.931,-17.5355,16.1751,43.0328,3.27802,-15.2706,89.7251,-20.7163,0.412262,115.432,-9.58092,4.32167
337,39.5091,2.28891,-27.2686,86.9657,-20.0287,-18.854,116.478,-17.501,16.2092,43.2938,3.37758,-15.6938,90.3428,-20.9234,1.06712,117.136,-9.58975,4.91518
338,39.7346,2.29228,-27.306,87.4126,-20.3658,-18.3355,117.897,-17.2353,16.276,43.5241,3.47529,-16.1065,90.9702,-21.1564,1.69878,118.813,-9.63544,5.57443
339,39.9052,2.2849,-27.2281,87.8022,-20.7511,-17.6277,119.206,-16.7767,16.4147,43.738,3.58007,-16.5461,91.6099,-21.418,2.29934,120.465,-9.70349,6.32084
340,40.034,2.27067,-27.0764,88.1487,-21.1665,-16.7676,120.426,-16.1873,16.6611,43.9514,3.69949,-17.0436,92.2487,-21.7052,2.84466,122.09,-9.78865,7.14976
341,40.1378,2.25344,-26.8926,88.4571,-21.5945,-15.809,121.578,-15.5436,17.0288,44.1802,3.83697,-17.6125,92.856,-22.0027,3.30096,123.674,-9.89239,8.02064
342,40.2329,2.23608,-26.7073,88.728,-22.0209,-14.8093,122.683,-14.9209,17.5003,44.4364,3.99192,-18.2493,93.3914,-22.2822,3.63247,125.2,-10.0193,8.86837
343,40.3341,2.22064,-26.5425,88.963,-22.4317,-13.8192,123.755,-14.3812,18.0347,44.7246,4.1619,-18.9426,93.8194,-22.5101,3.81425,126.65,-10.1719,9.62892
344,40.455,2.20912,-26.4196,89.166,-22.8079,-12.8809,124.802,-13.9661,18.5835,45.0413,4.34457,-19.6813,94.1214,-22.6581,3.84385,128.013,-10.3474,10.2611
345,40.6066,2.20379,-26.3626,89.3418,-23.1241,-12.0313,125.824,-13.696,19.1033,45.3768,4.53816,-20.4572,94.2996,-22.7091,3.74716,129.283,-10.5361,10.7533
346,40.7945,2.20697,-26.3961,89.4954,-23.3505,-11.3051,126.813,-13.5718,19.5623,45.7192,4.74042,-21.2601,94.3757,-22.658,3.57755,130.456,-10.7221,11.1161
347,41.0184,2.22043,-26.5386,89.6339,-23.4593,-10.732,127.759,-13.5774,19.9404,46.0581,4.9475,-22.0743,94.3845,-22.5093,3.4036,131.532,-10.8866,11.369
348,41.2734,2.24496,-26.7978,89.7674,-23.4326,-10.3312,128.652,-13.6888,20.2269,46.3849,5.15395,-22.8779,94.3627,-22.2736,3.28505,132.506,-11.0143,11.5272
