Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
274,3.05933,7.18651,-41.0639,3.5608,-9.25945,23.245,3.93977,4.78818,-9.79002,1.14514,6.69699,-40.8796,-0.965854,-9.26413,18.9139,-1.25718,2.87664,-8.64616
275,3.37896,7.29302,-41.4213,4.14047,-9.35925,23.545,4.41042,5.17451,-9.58635,1.42052,6.72935,-41.0003,-0.345413,-9.3691,18.9506,-0.748594,3.27812,-8.44572
276,3.79707,7.42453,-41.8586,4.90687,-9.49701,23.9299,5.02545,5.6996,-9.33519,1.78569,6.772,-41.1586,0.466465,-9.51196,19.0111,-0.0844591,3.81956,-8.19755
277,4.30514,7.57422,-42.3515,5.84833,-9.67333,24.388,5.77193,6.36268,-9.04907,2.23573,6.82417,-41.3512,1.45315,-9.69265,19.1013,0.720662,4.49842,-7.91379
278,4.89039,7.73396,-42.8717,6.94485,-9.88687,24.904,6.63075,7.15679,-8.74199,2.76186,6.88462,-41.5729,2.58953,-9.90955,19.2264,1.64499,5.30643,-7.60847
279,5.53971,7.89601,-43.3931,8.17486,-10.1352,25.4625,7.58266,8.07265,-8.42609,3.35468,6.95189,-41.818,3.84957,-10.1606,19.3911,2.66586,6.23391,-7.29434
280,6.24172,8.05371,-43.8942,9.51874,-10.4154,26.0503,8.61151,9.10079,-8.11007,4.00578,7.0245,-42.0806,5.21021,-10.4438,19.5993,3.76303,7.2722,-6.98146
281,6.98736,8.20168,-44.3582,10.9601,-10.7245,26.6565,9.70548,10.2325,-7.79887,4.70843,7.10093,-42.3549,6.65269,-10.7576,19.8536,4.92003,8.41456,-6.67672
282,7.76979,8.33573,-44.7733,12.4857,-11.0593,27.2721,10.8572,11.4599,-7.49397,5.45747,7.17955,-42.6348,8.16238,-11.1013,20.1554,6.12435,9.65618,-6.38409
283,8.58392,8.45262,-45.1309,14.0848,-11.417,27.89,12.0634,12.7758,-7.19392,6.24897,7.2585,-42.9138,9.72791,-11.4742,20.5042,7.36712,10.9936,-6.10499
284,9.42578,8.54986,-45.4251,15.7483,-11.7945,28.5036,13.3237,14.1728,-6.89503,7.07974,7.33567,-43.1846,11.3403,-11.8761,20.8975,8.64267,12.4241,-5.83865
285,10.2921,8.62556,-45.6519,17.4679,-12.189,29.1073,14.6405,15.6434,-6.59187,7.94688,7.40862,-43.4389,12.992,-12.307,21.3306,9.94822,13.9448,-5.58245
286,11.1798,8.67839,-45.8089,19.2359,-12.5975,29.696,16.0178,17.1795,-6.27779,8.84741,7.47465,-43.6679,14.6764,-12.7669,21.7971,11.2837,15.5517,-5.33202
287,12.0861,8.7076,-45.8949,21.0448,-13.0169,30.2657,17.4609,18.7722,-5.94526,9.77809,7.53086,-43.8621,16.3876,-13.2556,22.2888,12.6518,17.24,-5.08136
288,13.0082,8.71301,-45.9102,22.8873,-13.4442,30.8131,18.9761,20.412,-5.58613,10.7353,7.57437,-44.0122,18.1205,-13.773,22.7965,14.0578,19.0028,-4.82283
289,13.9435,8.69508,-45.8565,24.7563,-13.8763,31.3364,20.5696,22.0891,-5.19195,11.7151,7.60243,-44.1093,19.8705,-14.3187,23.3107,15.5098,20.832,-4.54717
290,14.8895,8.65494,-45.7369,26.6453,-14.3101,31.8356,22.2479,23.7936,-4.75408,12.7131,7.61266,-44.1455,21.6342,-14.8922,23.8227,17.018,22.7175,-4.24364
291,15.8442,8.59434,-45.5559,28.5485,-14.7425,32.312,24.0169,25.5157,-4.26397,13.7248,7.60321,-44.1144,23.4088,-15.4925,24.3247,18.5952,24.6478,-3.90017
292,16.8059,8.51556,-45.3197,30.4605,-15.1707,32.7691,25.8821,27.2462,-3.71331,14.7457,7.57293,-44.0117,25.1928,-16.1186,24.8116,20.2553,26.6102,-3.50368
293,17.7732,8.42134,-45.0353,32.3767,-15.5919,33.2116,27.8478,28.9767,-3.0942,15.7713,7.52138,-43.8353,26.9856,-16.7689,25.2804,22.0134,28.5911,-3.0405
294,18.7453,8.31467,-44.7106,34.2931,-16.0038,33.6458,29.9175,30.6999,-2.39927,16.7974,7.44893,-43.585,28.787,-17.4413,25.7315,23.8844,30.5764,-2.49685
295,19.7215,8.19867,-44.3542,36.2059,-16.4044,34.0787,32.0931,32.4095,-1.6218,17.8201,7.35668,-43.2632,30.5977,-18.1333,26.1684,25.8825,32.552,-1.8594
296,20.7014,8.07639,-43.9744,38.1115,-16.792,34.518,34.376,34.1003,-0.75568,18.8355,7.24639,-42.8743,32.4183,-18.8418,26.5974,28.02,34.5042,-1.11588
297,21.6844,7.9507,-43.5795,40.0062,-17.1653,34.9715,36.7662,35.7677,0.204581,19.8406,7.12031,-42.424,34.249,-19.5631,27.0276,30.3068,36.4199,-0.255575
298,22.6701,7.8241,-43.177,41.8858,-17.5237,35.4461,39.2634,37.408,1.26394,20.8323,6.98103,-41.9198,36.0899,-20.2928,27.4703,32.7496,38.2873,0.730171
299,23.6574,7.69867,-42.7733,43.7459,-17.8665,35.948,41.8665,39.0173,2.42687,21.8079,6.83133,-41.3695,37.9398,-21.0264,27.9377,35.3515,40.0959,1.84761
300,24.6451,7.57599,-42.3733,45.581,-18.1936,36.4815,44.5746,40.5914,3.69735,22.7649,6.67392,-40.7817,39.7965,-21.7585,28.4427,38.1121,41.8368,3.10035
301,25.6313,7.45708,-41.9806,47.385,-18.5053,37.0489,47.3866,42.1252,5.07874,23.701,6.51139,-40.1643,41.6563,-22.4836,28.9977,41.0274,43.5025,4.48929
302,26.6133,7.34243,-41.5972,49.1513,-18.8017,37.6504,50.3014,43.6119,6.57346,24.6138,6.34599,-39.5248,43.5141,-23.1963,29.6134,44.0899,45.0871,6.0126
303,27.5879,7.232,-41.2231,50.8723,-19.0835,38.2836,53.3175,45.0434,8.18252,25.5009,6.17957,-38.8696,45.3629,-23.8909,30.2981,47.2895,46.5858,7.66586
304,28.5513,7.12533,-40.8574,52.5403,-19.3514,38.9436,56.4326,46.4094,9.90478,26.3598,6.01356,-38.2038,47.1946,-24.5619,31.0571,50.6136,47.9946,9.44213
305,29.4988,7.02161,-40.4973,54.1473,-19.606,39.6238,59.6427,47.6978,11.7361,27.1878,5.84895,-37.5312,48.9997,-25.2046,31.8923,54.0473,49.3101,11.3321
306,30.4255,6.9198,-40.1396,55.6857,-19.848,40.3159,62.9412,48.8953,13.6687,27.9824,5.68629,-36.854,50.7679,-25.8144,32.8017,57.5745,50.5291,13.3243
307,31.3261,6.81874,-39.7804,57.1488,-20.0782,41.0105,66.3182,49.9882,15.6901,28.741,5.5258,-36.1734,52.4889,-26.3882,33.78,61.1776,51.6486,15.4049
308,32.1954,6.71731,-39.4157,58.5309,-20.2969,41.6978,69.7594,50.9628,17.783,29.4612,5.36742,-35.4894,54.1527,-26.9234,34.8187,64.8377,52.6656,17.5581
309,33.0282,6.61449,-39.0417,59.8278,-20.504,42.3687,73.2463,51.807,19.9252,30.1407,5.21087,-34.801,55.7506,-27.4192,35.907,68.5352,53.5769,19.7657
310,33.8199,6.50953,-38.6556,61.0374,-20.6993,43.0143,76.756,52.5112,22.0904,30.7778,5.05574,-34.1067,57.2757,-27.8758,37.0325,72.2497,54.3797,22.0081
311,34.5666,6.40193,-38.2553,62.1597,-20.8816,43.6274,80.262,53.069,24.249,31.3711,4.90154,-33.4046,58.7239,-28.295,38.1826,75.9602,55.0715,24.2635
312,35.2652,6.29153,-37.8398,63.1969,-21.0494,44.2022,83.7356,53.4783,26.3698,31.9197,4.74775,-32.6923,60.0943,-28.6798,39.3448,79.6458,55.6506,26.5094
313,35.9134,6.17847,-37.4095,64.1532,-21.2008,44.7346,87.1477,53.7411,28.4223,32.4234,4.59388,-31.9677,61.3892,-29.0342,40.5078,83.2856,56.1159,28.7223
314,36.5101,6.06315,-36.9655,65.0347,-21.3332,45.2224,90.47,53.8643,30.3782,32.8825,4.43948,-31.2284,62.6142,-29.3631,41.6624,86.8595,56.4677,30.8787
315,37.0548,5.9462,-36.51,65.849,-21.4443,45.6648,93.6776,53.8583,32.2134,33.2979,4.28418,-30.4726,63.7778,-29.6715,42.8015,90.3484,56.7075,32.9558
316,37.5481,5.82833,-36.0455,66.6046,-21.5316,46.0626,96.7499,53.7371,33.9092,33.671,4.12769,-29.6987,64.8904,-29.9641,43.9202,93.7346,56.8381,34.9322
317,37.991,5.71035,-35.5751,67.3103,-21.5933,46.4181,99.6714,53.5171,35.4535,34.0037,3.9699,-28.9058,65.9637,-30.2452,45.0159,97.0024,56.8639,36.7889
318,38.3853,5.59299,-35.1018,67.9747,-21.6283,46.7342,102.432,53.2158,36.8401,34.2985,3.81085,-28.0939,67.0095,-30.5178,46.0878,100.138,56.7911,38.5098
319,38.7329,5.47696,-34.6282,68.6056,-21.6362,47.0149,105.028,52.8512,38.0689,34.5581,3.65075,-27.264,68.0383,-30.784,47.1365,103.131,56.6272,40.0825
