Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
510,6.32585,-0.119859,2.8537,7.63509,-7.27295,-24.4968,7.73114,1.841,-0.770039,7.21999,-6.43587,26.6107,5.39363,-15.8493,-22.902,3.76644,1.65157,-27.3178
511,6.51191,-0.133973,3.04299,7.83134,-7.37287,-24.659,8.05215,1.77004,-0.759528,7.17562,-6.3663,26.3562,5.37723,-15.74,-23.0536,3.63812,1.64114,-27.2279
512,6.7336,-0.147428,3.22342,8.06503,-7.49907,-24.8447,8.44411,1.69292,-0.71036,7.13885,-6.28968,26.0757,5.35789,-15.6038,-23.2659,3.4852,1.61393,-27.1002
513,6.97588,-0.157279,3.35551,8.31917,-7.64073,-25.0399,8.88578,1.61709,-0.603361,7.12437,-6.21627,25.8068,5.33841,-15.454,-23.5383,3.32409,1.56462,-26.935
514,7.2239,-0.16091,3.40416,8.57555,-7.77997,-25.2335,9.35472,1.54717,-0.422621,7.14866,-6.15646,25.5879,5.32304,-15.3122,-23.8626,3.17799,1.49081,-26.7369
515,7.46727,-0.156963,3.35121,8.8192,-7.89554,-25.4195,9.83278,1.48317,-0.163112,7.22591,-6.11688,25.4433,5.31658,-15.2044,-24.222,3.07273,1.39469,-26.5121
516,7.70148,-0.145849,3.20212,9.04078,-7.96801,-25.5946,10.3079,1.42086,0.163088,7.36406,-6.09752,25.3732,5.32307,-15.1542,-24.592,3.03167,1.28347,-26.2667
517,7.92684,-0.129657,2.98491,9.23703,-7.98484,-25.7542,10.7738,1.35388,0.52589,7.56263,-6.09117,25.3506,5.3448,-15.1775,-24.9428,3.0715,1.16829,-26.0048
518,8.14625,-0.111534,2.74181,9.41024,-7.94386,-25.8903,11.2281,1.27602,0.883492,7.81324,-6.08535,25.329,5.38227,-15.2775,-25.2448,3.20054,1.06174,-25.7283
519,8.36351,-0.0947205,2.51627,9.56721,-7.85423,-25.9928,11.6728,1.18285,1.19428,8.10276,-6.06605,25.2563,5.43548,-15.4445,-25.4744,3.42006,0.97498,-25.4369
520,8.58271,-0.0815661,2.33982,9.71817,-7.73466,-26.0524,12.1133,1.0721,1.42967,8.41781,-6.0222,25.0908,5.50581,-15.6582,-25.6196,3.72781,0.915196,-25.1305
521,8.80858,-0.0728639,2.2231,9.87537,-7.60918,-26.0636,12.5599,0.943153,1.58265,8.7492,-5.94915,24.8149,5.59803,-15.8936,-25.6815,4.12226,0.884102,-24.8116
522,9.04695,-0.0677316,2.15427,10.0517,-7.50162,-26.0266,13.0267,0.796061,1.66921,9.09509,-5.84972,24.4386,5.72155,-16.1273,-25.6727,4.60638,0.877802,-24.4857
523,9.30457,-0.0640486,2.10485,10.259,-7.43031,-25.9496,13.5308,0.630556,1.72279,9.46185,-5.73222,23.9927,5.8906,-16.3435,-25.6127,5.18982,0.887943,-24.158
524,9.58873,-0.0592286,2.0401,10.5073,-7.40463,-25.8481,14.09,0.445472,1.78427,9.86257,-5.60686,23.5151,6.12297,-16.538,-25.5236,5.88882,0.903633,-23.8285
525,9.90682,-0.050993,1.9294,10.8033,-7.42428,-25.7428,14.7206,0.238797,1.89111,10.3138,-5.48207,23.0375,6.43743,-16.7176,-25.4255,6.72371,0.913422,-23.4881
526,10.266,-0.0378537,1.75276,11.1505,-7.48152,-25.654,15.4354,0.0084177,2.06917,10.8317,-5.36241,22.5769,6.85027,-16.8968,-25.3353,7.71428,0.906839,-23.1188
527,10.6726,-0.019214,1.50215,11.5497,-7.56526,-25.5962,16.2428,-0.246799,2.32903,11.4276,-5.24832,22.1345,7.37189,-17.0925,-25.2658,8.87426,0.875413,-22.6986
528,11.1319,0.00477382,1.17961,12.0008,-7.66549,-25.5742,17.1481,-0.526266,2.6666,12.1061,-5.13736,21.7008,8.0043,-17.3179,-25.2252,10.2064,0.813329,-22.2079
529,11.6474,0.0334007,0.794655,12.5044,-7.77652,-25.5827,18.1549,-0.82773,3.06645,12.8637,-5.02617,21.2628,8.74031,-17.5796,-25.2185,11.6999,0.71769,-21.6368
530,12.2213,0.0655886,0.361795,13.0633,-7.89827,-25.6097,19.2666,-1.14796,3.50654,13.6905,-4.91234,20.8112,9.56454,-17.8759,-25.2471,13.331,0.588268,-20.9891
531,12.8537,0.100086,-0.102128,13.6816,-8.03537,-25.6404,20.4869,-1.48349,3.96333,14.5732,-4.79563,20.3453,10.4563,-18.1986,-25.3094,15.0668,0.426893,-20.2829
532,13.542,0.135631,-0.580132,14.3633,-8.1948,-25.661,21.8184,-1.83107,4.41623,15.4971,-4.67786,19.8727,11.3938,-18.5359,-25.4009,16.871,0.23661,-19.5463
533,14.2807,0.171073,-1.05669,15.1098,-8.38315,-25.6633,23.2592,-2.18774,4.85066,16.4486,-4.56171,19.4041,12.3576,-18.8757,-25.5135,18.7104,0.0205358,-18.8103
534,15.061,0.205505,-1.51957,15.9169,-8.60436,-25.6465,24.8008,-2.55063,5.25879,17.4157,-4.44885,18.9461,13.3342,-19.2078,-25.6363,20.5605,-0.219546,-18.0997
535,15.8711,0.238427,-1.96201,16.7741,-8.8583,-25.6174,26.4261,-2.91659,5.63843,18.3883,-4.33821,18.494,14.3176,-19.5261,-25.757,22.4079,-0.484302,-17.4263
536,16.697,0.269807,-2.38353,17.6651,-9.14057,-25.5871,28.1108,-3.28169,5.99115,19.3579,-4.22555,18.03,15.3087,-19.8284,-25.8629,24.2508,-0.776998,-16.7879
537,17.5234,0.300014,-2.78899,18.5709,-9.4435,-25.5663,29.8264,-3.64154,6.32118,20.3169,-4.10459,17.5278,16.3137,-20.1159,-25.9434,26.0958,-1.10261,-16.1736
538,18.3365,0.329714,-3.18729,19.4741,-9.75807,-25.5625,31.5464,-3.99256,6.63566,21.2593,-3.96957,16.9631,17.3402,-20.3916,-25.9907,27.9534,-1.46661,-15.5726
539,19.1272,0.359814,-3.59051,20.3631,-10.0757,-25.5788,33.2524,-4.33429,6.94551,22.1815,-3.81771,16.324,18.3954,-20.6586,-26.0011,29.8332,-1.87412,-14.9828
540,19.8934,0.391321,-4.0121,21.235,-10.3894,-25.6147,34.9375,-4.6713,7.26406,23.0831,-3.65047,15.6164,19.4832,-20.9184,-25.9751,31.7399,-2.3292,-14.4134
541,20.6404,0.424922,-4.46121,22.096,-10.6944,-25.6674,36.6067,-5.01385,7.60109,23.9666,-3.47296,14.8615,20.6042,-21.1715,-25.9171,33.6734,-2.83337,-13.8816
542,21.3786,0.460432,-4.93536,22.9586,-10.9877,-25.734,38.2727,-5.37695,7.95567,24.8362,-3.29226,14.0893,21.7558,-21.4181,-25.8334,35.6295,-3.38351,-13.4064
543,22.1197,0.496619,-5.41811,23.8387,-11.2676,-25.8153,39.951,-5.77864,8.31495,25.6964,-3.11563,13.3307,22.9333,-21.6594,-25.7289,37.6021,-3.97026,-13.002
544,22.8735,0.531683,-5.88542,24.7507,-11.534,-25.9178,41.6549,-6.23749,8.66149,26.5525,-2.94879,12.6105,24.1312,-21.898,-25.6045,39.5854,-4.57776,-12.6717
545,23.6453,0.564104,-6.31706,25.7057,-11.7876,-26.0543,43.3917,-6.76905,8.98343,27.4096,-2.79392,11.9381,25.3453,-22.1374,-25.4549,41.5744,-5.18512,-12.4055
546,24.4352,0.593313,-6.70543,26.709,-12.0301,-26.2383,45.1616,-7.3818,9.27996,28.2689,-2.64781,11.2994,26.5736,-22.3811,-25.2697,43.5651,-5.76927,-12.1796
547,25.2387,0.619759,-7.0565,27.7614,-12.2648,-26.4781,46.9581,-8.07404,9.55912,29.1265,-2.5025,10.6597,27.8163,-22.631,-25.0357,45.5538,-6.30829,-11.9622
548,26.0482,0.644553,-7.38494,28.8595,-12.4966,-26.7719,48.7715,-8.8332,9.83174,29.975,-2.34883,9.97879,29.0742,-22.8862,-24.7418,47.5352,-6.78489,-11.7225
549,26.8549,0.669099,-7.70935,29.9968,-12.7316,-27.1065,50.5916,-9.63742,10.1072,30.808,-2.18061,9.22936,30.3466,-23.1433,-24.3834,49.5018,-7.18935,-11.4376
550,27.6509,0.694828,-8.04857,31.164,-12.9766,-27.459,52.4105,-10.4584,10.3909,31.622,-1.99617,8.40412,31.6304,-23.3969,-23.9657,51.4444,-7.52112,-11.0956
551,28.4303,0.72283,-8.41693,32.3507,-13.2375,-27.8007,54.222,-11.2645,10.6811,32.4162,-1.79765,7.51272,32.9201,-23.6422,-23.504,53.3537,-7.78831,-10.6961
552,29.189,0.753532,-8.81998,33.5463,-13.5172,-28.1013,56.0201,-12.0246,10.9672,33.1904,-1.58971,6.57611,34.2099,-23.8759,-23.0213,55.2214,-8.00544,-10.2484
553,29.9237,0.786626,-9.25356,34.7405,-13.8154,-28.3343,57.7978,-12.7127,11.2328,33.9441,-1.37826,5.6209,35.4937,-24.0982,-22.5449,57.0421,-8.19079,-9.76857
554,30.6308,0.821268,-9.7065,35.9242,-14.1274,-28.482,59.5467,-13.3117,11.463,34.6771,-1.16901,4.67319,36.7655,-24.3124,-22.1035,58.8134,-8.36416,-9.27423
555,31.3065,0.856474,-10.1658,37.0896,-14.4456,-28.537,61.2575,-13.8164,11.6507,35.3892,-0.966313,3.75286,38.0181,-24.5245,-21.7241,60.5366,-8.54521,-8.77815
556,31.948,0.891489,-10.6215,38.2303,-14.7606,-28.5016,62.9226,-14.2316,11.7991,36.0807,-0.772582,2.87133,39.2429,-24.7414,-21.4296,62.2158,-8.75203,-8.28547
557,32.5541,0.92592,-11.0684,39.3422,-15.0639,-28.384,64.5367,-14.5696,11.9189,36.7519,-0.58892,2.03406,40.4315,-24.9683,-21.2361,63.8563,-8.99964,-7.79603
558,33.126,0.959596,-11.5043,40.4234,-15.3494,-28.1963,66.0979,-14.8465,12.0221,37.4026,-0.415941,1.24432,41.5768,-25.2073,-21.1486,65.4638,-9.29761,-7.30976
559,33.6666,0.992353,-11.9271,41.474,-15.6146,-27.9562,67.607,-15.0812,12.1175,38.033,-0.2539,0.50374,42.6748,-25.4569,-21.1579,67.0421,-9.6467,-6.83
560,34.1794,1.02398,-12.3341,42.4947,-15.86,-27.6874,69.0667,-15.2943,12.2093,38.6429,-0.102099,-0.190457,43.7244,-25.7122,-21.239,68.5928,-10.0365,-6.36287
561,34.6664,1.05433,-12.7235,43.4862,-16.0885,-27.4188,70.4803,-15.5063,12.2995,39.2306,0.0416122,-0.847733,44.7277,-25.966,-21.3533,70.1149,-10.4461,-5.91431
562,35.1281,1.08348,-13.0963,44.4478,-16.3034,-27.18,71.8512,-15.7345,12.3901,39.7923,0.180705,-1.48364,45.6883,-26.2099,-21.4555,71.6056,-10.8481,-5.48714
563,35.5635,1.11176,-13.4567,45.3784,-16.5074,-26.9957,73.1825,-15.9913,12.484,40.322,0.319305,-2.11675,46.611,-26.4351,-21.5009,73.0605,-11.2142,-5.08038
564,35.9714,1.13968,-13.8112,46.2769,-16.702,-26.8816,74.4765,-16.2829,12.5859,40.8136,0.46118,-2.76405,47.5016,-26.633,-21.4524,74.4753,-11.5198,-4.6917
565,36.3516,1.16788,-14.1678,47.1438,-16.8878,-26.8409,75.7344,-16.6085,12.701,41.263,0.608504,-3.43526,48.3655,-26.7961,-21.286,75.8454,-11.7482,-4.32218
566,36.7062,1.19707,-14.5353,47.9815,-17.0653,-26.8638,76.9564,-16.96,12.8354,41.6694,0.760867,-4.12835,49.208,-26.9179,-20.9941,77.166,-11.8923,-3.98063
567,37.0399,1.22803,-14.9237,48.7938,-17.2348,-26.9292,78.1396,-17.3232,12.9949,42.035,0.915335,-4.82987,50.0333,-26.9944,-20.5851,78.4325,-11.9548,-3.68356
568,37.3582,1.26135,-15.34,49.5853,-17.3968,-27.0091,79.2785,-17.6797,13.1828,42.3633,1.06774,-5.52076,50.8441,-27.0239,-20.0796,79.6405,-11.946,-3.45
569,37.6643,1.29684,-15.782,50.3606,-17.5512,-27.0758,80.3657,-18.0114,13.3946,42.6578,1.21438,-6.18416,51.6416,-27.0081,-19.5054,80.7872,-11.88,-3.29456
570,37.9554,1.3331,-16.2324,51.1243,-17.6971,-27.1076,81.3951,-18.3049,13.6119,42.9211,1.35308,-6.81021,52.4264,-26.9517,-18.8915,81.8706,-11.7726,-3.22255
571,38.224,1.36798,-16.6645,51.8802,-17.8323,-27.0915,82.3637,-18.5537,13.8083,43.1548,1.48325,-7.39635,53.1982,-26.862,-18.2662,82.891,-11.6406,-3.22932
572,38.4619,1.39977,-17.0572,52.6311,-17.9538,-27.0239,83.2726,-18.7569,13.9624,43.3601,1.60513,-7.94374,53.957,-26.749,-17.6555,83.8512,-11.502,-3.30355
573,38.6643,1.428,-17.4047,53.378,-18.0581,-26.9103,84.1261,-18.9191,14.0682,43.5387,1.71873,-8.45268,54.7033,-26.6249,-17.082,84.7568,-11.3744,-3.43239
574,38.8302,1.45319,-17.7134,54.1202,-18.1409,-26.7643,84.9298,-19.0492,14.1328,43.6938,1.8233,-8.92004,55.4382,-26.5042,-16.5624,85.6152,-11.2733,-3.60501
575,38.9626,1.47626,-17.9948,54.8551,-18.1978,-26.6052,85.6894,-19.1599,14.1711,43.8299,1.91752,-9.34019,56.1627,-26.4018,-16.1059,86.4333,-11.2095,-3.81243
576,39.0671,1.49815,-18.2607,55.5791,-18.2251,-26.454,86.41,-19.2642,14.2013,43.9517,2.00032,-9.70864,56.8778,-26.3321,-15.7139,87.217,-11.1871,-4.04457
577,39.1505,1.51953,-18.5193,56.288,-18.2211,-26.3269,87.0954,-19.3713,14.2381,44.0631,2.07178,-10.0259,57.5841,-26.3053,-15.3796,87.9705,-11.2039,-4.28735
578,39.2187,1.54057,-18.7729,56.9782,-18.1868,-26.2313,87.7485,-19.4839,14.2873,44.1667,2.13355,-10.2995,58.2816,-26.3261,-15.0918,88.6963,-11.252,-4.52228
579,39.2759,1.56102,-19.0188,57.6477,-18.127,-26.1642,88.3708,-19.5969,14.3462,44.264,2.18877,-10.5434,58.9701,-26.392,-14.8374,89.3957,-11.3211,-4.72893
580,39.3252,1.5807,-19.2546,58.2968,-18.0507,-26.1137,88.964,-19.6994,14.4116,44.3558,2.2413,-10.7748,59.6492,-26.4928,-14.6057,90.0692,-11.4011,-4.8891
581,39.3689,1.59973,-19.482,58.9271,-17.9704,-26.0617,89.5293,-19.7762,14.4843,44.4427,2.29469,-11.0095,60.3181,-26.6135,-14.3895,90.7167,-11.4836,-4.99079
582,39.4079,1.61826,-19.703,59.5398,-17.8986,-25.9897,90.0672,-19.8119,14.5649,44.5253,2.35114,-11.2572,60.9759,-26.7375,-14.1838,91.338,-11.5624,-5.03077
583,39.4414,1.63587,-19.9125,60.1337,-17.8449,-25.8837,90.5751,-19.7952,14.6451,44.6038,2.41091,-11.5191,61.6212,-26.8513,-13.9841,91.9321,-11.6326,-5.01502
584,39.4672,1.65146,-20.0979,60.705,-17.8143,-25.7391,91.0487,-19.7223,14.7079,44.6778,2.4723,-11.7878,62.2528,-26.9469,-13.7847,92.4978,-11.6902,-4.95675
585,39.4828,1.66385,-20.245,61.2478,-17.8078,-25.5624,91.4831,-19.5987,14.7372,44.7463,2.53233,-12.0502,62.8697,-27.0222,-13.5783,93.0339,-11.7319,-4.8728
586,39.487,1.6723,-20.3452,61.7565,-17.8234,-25.3696,91.8758,-19.4381,14.7264,44.8077,2.58762,-12.2917,63.4713,-27.0799,-13.3574,93.5384,-11.7551,-4.77981
587,39.4802,1.67672,-20.3976,62.227,-17.8583,-25.1806,92.2278,-19.2585,14.6789,44.8601,2.63519,-12.4992,64.057,-27.1253,-13.1166,94.0097,-11.7582,-4.69149
588,39.464,1.67762,-20.4084,62.6578,-17.9104,-25.0142,92.5438,-19.0771,14.6057,44.9012,2.67295,-12.6639,64.6259,-27.164,-12.8544,94.4459,-11.7419,-4.61737
589,39.4422,1.67602,-20.3893,63.0498,-17.9788,-24.8833,92.831,-18.9071,14.5223,44.9292,2.69995,-12.7815,65.176,-27.1996,-12.5755,94.8453,-11.7096,-4.5624
590,39.4198,1.67315,-20.3554,63.4062,-18.0648,-24.7922,93.0971,-18.7556,14.4455,44.9435,2.71649,-12.8534,65.7048,-27.2325,-12.2913,95.2075,-11.6677,-4.5266
591,39.4017,1.67009,-20.3191,63.7319,-18.1709,-24.7361,93.3478,-18.6234,14.388,44.9449,2.72413,-12.8866,66.2092,-27.2604,-12.0184,95.5331,-11.6251,-4.50504
592,39.3914,1.66735,-20.2867,64.0333,-18.2994,-24.7014,93.5861,-18.5055,14.3539,44.9361,2.7254,-12.8921,66.6864,-27.2797,-11.7755,95.8246,-11.5907,-4.48873
593,39.391,1.66503,-20.2593,64.3172,-18.45,-24.6698,93.8115,-18.3939,14.3409,44.9207,2.72323,-12.8826,67.1345,-27.2868,-11.5786,96.0859,-11.5717,-4.46641
594,39.4008,1.66311,-20.2366,64.5897,-18.6188,-24.6247,94.0217,-18.2816,14.3452,44.9026,2.7206,-12.871,67.5532,-27.2805,-11.4367,96.3216,-11.5714,-4.42639
595,39.4202,1.66182,-20.2213,64.8553,-18.7966,-24.5571,94.214,-18.1669,14.3649,44.8854,2.72014,-12.869,67.9441,-27.2631,-11.3491,96.5366,-11.5885,-4.35798
596,39.4475,1.66166,-20.2194,65.1154,-18.9696,-24.4701,94.3864,-18.0557,14.4001,44.8721,2.72388,-12.8851,68.3094,-27.2409,-11.3056,96.7345,-11.6183,-4.25328
597,39.4809,1.66344,-20.2403,65.3682,-19.1209,-24.3767,94.5383,-17.9598,14.4524,44.8642,2.73265,-12.9231,68.6508,-27.2233,-11.2885,96.9172,-11.6525,-4.10974
598,39.519,1.668,-20.2939,65.6084,-19.2337,-24.2951,94.6702,-17.8921,14.5243,44.8614,2.74562,-12.9793,68.9682,-27.2206,-11.2767,97.0834,-11.6816,-3.93271
599,39.5607,1.6759,-20.3869,65.8298,-19.295,-24.2414,94.7837,-17.8629,14.6166,44.8611,2.76039,-13.0433,69.2589,-27.2401,-11.2512,97.2289,-11.6966,-3.73585
600,39.6043,1.68693,-20.5167,66.0273,-19.2996,-24.2236,94.8797,-17.8757,14.7235,44.8591,2.77373,-13.1011,69.5193,-27.2839,-11.201,97.3477,-11.6919,-3.53868
601,39.6468,1.69997,-20.6702,66.1988,-19.2502,-24.2399,94.9574,-17.9269,14.8295,44.8506,2.78264,-13.1398,69.7451,-27.3479,-11.1253,97.4342,-11.6665,-3.36185
602,39.6837,1.71325,-20.8264,66.3438,-19.1567,-24.2803,95.0139,-18.0066,14.9132,44.8318,2.78508,-13.1504,69.9334,-27.4233,-11.0322,97.484,-11.6242,-3.22227
603,39.711,1.72506,-20.9652,66.4625,-19.0327,-24.3311,95.0443,-18.1008,14.9561,44.8003,2.78027,-13.1296,70.0827,-27.4993,-10.9351,97.4956,-11.5728,-3.12981
604,39.7265,1.73434,-21.0744,66.555,-18.8937,-24.3773,95.0442,-18.1942,14.9519,44.7559,2.76872,-13.0795,70.1935,-27.5652,-10.8491,97.4697,-11.5218,-3.08615
