Frame,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z
330,11.541,5.78102,-39.4587,8.71491,-10.6847,19.7582,9.19761,8.49794,0.577947,6.60181,2.72098,-17.9455,9.45323,-14.7272,-7.05036,11.7607,3.55541,-1.77219
331,11.4262,5.76144,-39.3693,8.58571,-10.6634,19.7011,9.12745,8.44998,0.517843,6.49835,2.73772,-18.0422,9.25048,-14.6949,-6.93589,11.5783,3.52285,-1.89864
332,11.2945,5.73949,-39.269,8.43809,-10.6419,19.6359,9.05682,8.40224,0.45156,6.37784,2.75844,-18.1618,9.01367,-14.6571,-6.80686,11.3742,3.48483,-2.03865
333,11.1579,5.71748,-39.1683,8.28573,-10.6238,19.569,8.99777,8.36317,0.386558,6.25017,2.78216,-18.2985,8.76186,-14.6169,-6.67616,11.1697,3.44459,-2.17671
334,11.0285,5.69778,-39.0783,8.14277,-10.6125,19.5071,8.96207,8.34102,0.330281,6.12578,2.80774,-18.4458,8.51512,-14.5775,-6.55676,10.9868,3.40579,-2.29721
335,10.9172,5.68242,-39.0082,8.02125,-10.6108,19.4561,8.95941,8.34256,0.288819,6.0137,2.83419,-18.5979,8.29077,-14.542,-6.45924,10.8438,3.37185,-2.38719
336,10.8317,5.673,-38.9655,7.93008,-10.6205,19.4212,8.99681,8.37275,0.266409,5.92083,2.86079,-18.7506,8.1019,-14.5127,-6.39073,10.7545,3.34568,-2.43741
337,10.7776,5.67061,-38.9551,7.87509,-10.6427,19.4063,9.07872,8.43492,0.265449,5.85191,2.88708,-18.9014,7.95734,-14.4916,-6.35485,10.7281,3.32963,-2.44234
338,10.7581,5.67599,-38.9806,7.85948,-10.6777,19.4148,9.20754,8.53111,0.286785,5.80995,2.91291,-19.0492,7.86233,-14.4802,-6.35204,10.7703,3.32554,-2.39955
339,10.7751,5.68962,-39.0438,7.88458,-10.7252,19.4494,9.38415,8.66256,0.330088,5.7967,2.93831,-19.1943,7.81961,-14.4798,-6.38017,10.884,3.33488,-2.30896
340,10.8296,5.71179,-39.1461,7.95042,-10.7848,19.5125,9.60852,8.83019,0.394241,5.81323,2.9635,-19.3379,7.83031,-14.4916,-6.43512,11.071,3.35885,-2.17208
341,10.9221,5.74271,-39.2879,8.05638,-10.8554,19.6061,9.88011,9.03488,0.477676,5.86032,2.98879,-19.4819,7.89488,-14.517,-6.51136,11.3322,3.39851,-1.99136
342,11.0531,5.78255,-39.4696,8.20156,-10.9362,19.7322,10.1982,9.27777,0.578637,5.93883,3.01459,-19.6284,8.01363,-14.5575,-6.60235,11.6691,3.45486,-1.76965
343,11.2235,5.83143,-39.6909,8.38507,-11.0262,19.8924,10.5621,9.56037,0.695386,6.04984,3.04132,-19.78,8.18718,-14.6148,-6.70087,12.0835,3.52888,-1.50985
344,11.4343,5.88946,-39.9517,8.60621,-11.1246,20.0881,10.9714,9.8847,0.82635,6.19477,3.06946,-19.9392,8.41664,-14.6906,-6.79932,12.578,3.62152,-1.21469
345,11.6868,5.95667,-40.251,8.86457,-11.2304,20.32,11.4257,10.2532,0.970228,6.37539,3.09949,-20.1088,8.70369,-14.7867,-6.88986,13.1559,3.73373,-0.886536
346,11.9827,6.03302,-40.5875,9.1601,-11.3433,20.5883,11.9251,10.669,1.12606,6.59379,3.13191,-20.2916,9.05053,-14.9048,-6.96456,13.8211,3.86637,-0.527373
